,Date,views,likes,dislikes,comment_count,s&p_Open,s&p_High,s&p_Low,s&p_Close,s&p_Adj Close,s&p_Volume,dow_Open,dow_High,dow_Low,dow_Close,dow_Adj Close,dow_Volume,etc_Open,etc_High,etc_Low,etc_Close,etc_Adj Close,etc_Volume,btc_Open,btc_High,btc_Low,btc_Close,btc_Adj Close,btc_Volume
85,2018-02-09,375218909,7690824,551638,1192037,2601.780029,2638.669922,2532.689941,2619.550049,2619.550049,5680070000.0,23992.669922,24382.140625,23360.289063,24190.900391,24190.900391,735030000.0,813.549988,880.2199710000001,781.5,877.8800050000001,877.8800050000001,469210004,8259.259766,8743.200195,7775.359863,8696.830078,8696.830078,1348072086
86,2018-02-10,374687228,6713240,240176,757120,,,,,,,,,,,,,877.659973,909.320007,816.090027,850.75,850.75,451412405,8696.830078,9081.490234,8176.25,8569.290039,8569.290039,1348923336
87,2018-02-11,405072163,7161468,269399,779003,,,,,,,,,,,,,850.98999,853.73999,780.130005,811.23999,811.23999,308313754,8569.320313,8573.349609,7862.310059,8084.609863,8084.609863,1013771945
88,2018-02-12,405521012,7892241,304885,835550,2636.75,2672.610107,2622.449951,2656.0,2656.0,4055790000.0,24337.759766,24765.160156,24290.480469,24601.269531,24601.269531,496610000.0,811.169983,874.849976,811.090027,865.2700199999999,865.2700199999999,300521830,8084.609863,8997.339844,8084.410156,8911.269531,8911.269531,1085921871
89,2018-02-13,405714064,8343211,335607,867457,2646.27002,2668.840088,2637.080078,2662.939941,2662.939941,3472870000.0,24540.330078,24705.720703,24421.029297,24640.449219,24640.449219,374410000.0,865.2800289999999,867.599976,823.77002,840.9799800000001,840.9799800000001,256092877,8911.169922,8955.150391,8379.349609,8544.69043,8544.69043,853320352
90,2018-02-14,340657192,8437262,318501,871027,2651.209961,2702.100098,2648.8701170000004,2698.6298829999996,2698.6298829999996,4003740000.0,24535.820313,24925.949219,24490.359375,24893.490234,24893.490234,431160000.0,840.98999,922.3699949999999,840.8699949999999,920.1099849999999,920.1099849999999,470132510,8544.69043,9508.219727,8542.980469,9485.639648,9485.639648,1220863360
91,2018-02-15,267444169,8822800,317488,924177,2713.459961,2731.51001,2689.820068,2731.199951,2731.199951,3684910000.0,25047.820313,25203.949219,24809.419922,25200.369141,25200.369141,416780000.0,920.1099849999999,947.5300289999999,905.650024,927.9500119999999,927.9500119999999,454133646,9485.639648,10223.580078,9363.379883,10033.75,10033.75,1666668487
92,2018-02-16,280891975,9425728,318251,979513,2727.139893,2754.419922,2725.110107,2732.219971,2732.219971,3637460000.0,25165.939453,25432.419922,25149.259766,25219.380859,25219.380859,406730000.0,927.9500119999999,945.3599849999999,909.409973,938.0200199999999,938.0200199999999,282763877,10033.75,10303.139648,9720.379883,10188.730469,10188.730469,1061827697
93,2018-02-17,268085613,9199636,388610,879227,,,,,,,,,,,,,937.919983,974.830017,934.9500119999999,974.7700199999999,974.7700199999999,276682460,10188.730469,11119.450195,10074.070313,11097.209961,11097.209961,1327921168
94,2018-02-18,277050225,9233535,354678,837922,,,,,,,,,,,,,974.7800289999999,981.4799800000001,905.9600220000001,913.900024,913.900024,375068724,11097.209961,11288.339844,10161.009766,10417.230469,10417.230469,1659704217
95,2018-02-19,230672053,8070797,284222,770742,,,,,,,,,,,,,913.900024,955.6199949999999,911.599976,939.7899779999999,939.7899779999999,218921662,10418.120117,11265.959961,10336.320313,11182.280273,11182.280273,1186535653
96,2018-02-20,242446168,8190699,326184,794158,2722.98999,2737.600098,2706.76001,2716.26001,2716.26001,3627610000.0,25124.910156,25179.009766,24884.189453,24964.75,24964.75,421510000.0,939.7899779999999,958.8599849999999,877.2800289999999,885.5200199999999,885.5200199999999,344672330,11182.280273,11802.230469,11130.950195,11256.429688,11256.429688,1640343867
97,2018-02-21,254260078,8134294,405984,833179,2720.530029,2747.75,2701.290039,2701.330078,2701.330078,3779400000.0,24988.060547,25267.990234,24792.990234,24797.779297,24797.779297,456070000.0,885.5200199999999,906.5599980000001,818.119995,840.099976,840.099976,445950029,11256.780273,11295.580078,10256.209961,10481.660156,10481.660156,1982721124
98,2018-02-22,276585549,8712804,441546,905231,2710.419922,2731.26001,2697.77002,2703.959961,2703.959961,3701270000.0,24855.410156,25156.720703,24854.830078,24962.480469,24962.480469,378900000.0,840.1900019999999,871.320007,788.919983,804.630005,804.630005,362800754,10481.660156,10941.570313,9757.19043,9847.959961,9847.959961,1795951829
